cell,arm,rollout,reward_mean,raw_reward_mean,mean_response_tokens,kl_to_init,response_entropy,credit_ess_ratio,credit_w_std,credit_w_max
Llama-base,grpo,106,-5.4360857009887695,-5.0789794921875,346.515625,0.06909257173538208,0.8497596979141235,,,
Llama-base,grpo,107,3.9654617309570312,4.1031341552734375,426.953125,0.06284204125404358,0.9833072423934937,,,
Llama-base,grpo,108,4.523298263549805,5.3734588623046875,642.859375,0.05333786830306053,0.9278783798217773,,,
Llama-base,grpo,109,2.435387134552002,2.5768890380859375,320.34375,0.05438436567783356,0.6435790061950684,,,
Llama-base,grpo,110,7.805434703826904,8.582834243774414,313.125,0.05989422649145126,0.7627320289611816,,,
Llama-base,grpo,111,2.1980233192443848,2.4825592041015625,345.375,0.10327557474374771,0.8345678448677063,,,
Llama-base,grpo,112,3.2774157524108887,3.5931625366210938,443.1875,0.06467584520578384,0.8188053965568542,,,
Llama-base,grpo,113,1.7233421802520752,2.261394500732422,265.078125,0.04854722321033478,0.5019900798797607,,,
Llama-base,grpo,114,2.9766759872436523,4.2611083984375,586.71875,0.054865576326847076,0.5638202428817749,,,
Llama-base,grpo,115,3.213700294494629,3.36688232421875,216.375,0.0922086238861084,0.6801686882972717,,,
Llama-base,grpo,116,5.72373104095459,6.39849853515625,559.296875,0.07375559210777283,0.877568781375885,,,
Llama-base,grpo,117,8.989080429077148,9.595108032226562,608.828125,0.08064600825309753,0.8052278757095337,,,
Llama-base,grpo,118,4.370694160461426,4.52081298828125,368.0,0.09842605143785477,0.7885215878486633,,,
Llama-base,grpo,119,-6.240835189819336,-6.204071044921875,219.203125,0.11431635171175003,0.6540813446044922,,,
Llama-base,grpo,120,-4.949344635009766,-4.588409423828125,414.3125,0.10844931751489639,0.6726117134094238,,,
Llama-base,grpo,121,-0.27419185638427734,0.0107269287109375,379.03125,0.11994083225727081,0.6437371373176575,,,
Llama-base,grpo,122,0.4105604887008667,0.4494304656982422,304.03125,0.11743491888046265,0.626789927482605,,,
Llama-base,grpo,123,-6.08245849609375,-6.08245849609375,180.28125,0.15166190266609192,0.3753204047679901,,,
Llama-base,grpo,124,4.404762268066406,4.5364990234375,418.421875,0.08769503235816956,0.5271561145782471,,,
Llama-base,grpo,125,8.521929740905762,8.7965087890625,456.71875,0.09849489480257034,0.7357345223426819,,,
Llama-base,grpo,126,4.266932487487793,5.2515106201171875,611.15625,0.09581156820058823,0.6816608905792236,,,
Llama-base,grpo,127,5.84388542175293,6.753021240234375,430.796875,0.10923466831445694,0.5587877035140991,,,
Llama-base,grpo,128,-1.958590030670166,-0.5022106170654297,517.3125,0.09215189516544342,0.5639581680297852,,,
Llama-base,grpo,129,8.636678695678711,9.390718460083008,476.09375,0.09994077682495117,0.5950099229812622,,,
Llama-base,grpo,130,1.7330225706100464,3.073749542236328,571.765625,0.07430262863636017,0.9120036363601685,,,
Llama-base,grpo,131,3.833986759185791,4.270938873291016,423.609375,0.1133580431342125,0.6787784695625305,,,
Llama-base,grpo,132,1.3578418493270874,3.347869873046875,770.234375,0.0628344938158989,0.92916339635849,,,
Llama-base,grpo,133,1.1395485401153564,1.365875244140625,382.59375,0.106559157371521,0.7843114733695984,,,
Llama-base,grpo,134,-3.9916629791259766,-2.1033096313476562,739.25,0.0890672355890274,0.8590067625045776,,,
Llama-base,grpo,135,3.462244987487793,3.70733642578125,526.828125,0.09016824513673782,1.0399785041809082,,,
Llama-base,grpo,136,5.4770660400390625,6.074859619140625,432.984375,0.11724884808063507,0.8687707185745239,,,
Llama-base,grpo,137,2.9755406379699707,3.3450927734375,447.53125,0.12323366850614548,0.6111059784889221,,,
Llama-base,grpo,138,7.687662124633789,9.382431030273438,659.203125,0.09638040512800217,0.7759613990783691,,,
